tipe_dokumen,judul_dokumen,status,nomor_peraturan,jenis_peraturan,tempat_penetapan,tanggal_penetapan,tanggal_pengundangan,sumber,sumber_detail,urusan_pemerintah,bidang_hukum,bahasa,pemrakarsa,penandatangan,peraturan_terkait,dokumen_terkait,hasil_uji_mk,pengarang,subjek,file_url,file_size,link
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 13 Tahun 2012 tanggal 7 Mei 2012, tentang Klasifikasi Arsip  Kementerian Komunikasi dan Informatika",-,13,PERATURAN MENTERI,-,07 Mei 2012,07 Mei 2012,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1378259417-PERATURAN_MENTERI_KOMINFO_NOMOR_13_TAHUN_2012_TENTANG_KLASIFIKASI_ARSIP_KEMENTERIAN_KOMUNIKASI_DAN_INFORMATIKA.pdf,737012,https://jdihn.go.id/search/pusat/detail/980095
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 18 Tahun 2017 tanggal 2 Oktober  2017, tentang Kelas Jabatan di Lingkungan Kementerian Komunikasi dan Informatika",-,18,PERATURAN MENTERI,-,02 Oktober 2017,02 Oktober 2017,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1507788803-PM_Kominfo_No_18_Tahun_2017_Upload.pdf,823929,https://jdihn.go.id/search/pusat/detail/980096
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 30 Tahun 2012 tanggal 12 September 2012, tentang
Prosedur Koordinasiantara Penyelenggara Telekomunikasi 
Yang Menerapkan Personal Communication System 1900 dengan 
Penyelenggara Telekomunikasi yang Menerapkan 
Universal Mobile Telecommunication System",-,30,PERATURAN MENTERI,-,17 Oktober 2012,17 Oktober 2012,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1378265448-PERATURAN_MENTERI_KOMINFO_NOMOR_30_TAHUN_2012_TENTANG_PROSEDURKOORDINASI_PCS1900_UMTS.pdf,242857,https://jdihn.go.id/search/pusat/detail/980097
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 40 Tahun 2012 tanggal 4 Oktober 2012, tentang Tata Cara Pengajuan Keberatan Terhadap Penjatuhan 
Sanksi Administratif Penyelenggaraan Penyiaran",-,40,PERATURAN MENTERI,-,17 Oktober 2012,17 Oktober 2012,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1378267510-PERATURAN_MENTERI_KOMINFO_NOMOR_40_TAHUN_2012_TENTANG_TATA_CARA_PENGAJUAN_KEBERATAN_TERHADAP_PENJATUHAN_SANKSI_ADMINISTRATIF_PENYELENGGARAAN_PENYIARAN.pdf,151929,https://jdihn.go.id/search/pusat/detail/980098
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 1 Tahun 2018 tanggal 12 April 2018, tentang Akreditasi Lembaga Pelatihan Teknis Bidang Teknologi Informasi dan Komunikasi",-,1,PERATURAN MENTERI,-,12 April 2018,12 April 2018,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1525655644-PM_Kominfo_No_1_Tahun_2018_JDIH.pdf,872279,https://jdihn.go.id/search/pusat/detail/980099
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 3 Tahun 2018 tanggal 5 Juni 2018, tentang Organisasi dan Tata Kerja Badan Aksesibilitas Telekomunikasi dan Informasi",-,3,PERATURAN MENTERI,-,05 Juni 2018,05 Juni 2018,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1530679983-PM_Kominfo_No_3_Tahun_2018_JDIH.pdf,468000,https://jdihn.go.id/search/pusat/detail/980100
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 4 Tahun 2018 tanggal 6 Juni 2018, tentang Organisasi dan Tata Kerja Unit Pelaksana Teknis Balai Pelatihan dan Pengembangan Teknologi Informasi dan Komunikasi",-,4,PERATURAN MENTERI,-,06 Juni 2018,06 Juni 2018,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1530173272-PM_Kominfo_No_4_Tahun_2018_JDIH.pdf,235025,https://jdihn.go.id/search/pusat/detail/980101
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 19 Tahun 2015 tanggal 29 April 2015, tentang Penataan Pita Frekuensi Radio 1800 MHz untuk Keperluan Penyelenggaraan Jaringan Bergerak Seluler",-,19,PERATURAN MENTERI,-,29 April 2015,29 April 2015,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1432023937-Salinan_PM_Kominfo_No_19_Th_2015_Penataan_Pita_FrkeRad_1800_MHz.pdf,692267,https://jdihn.go.id/search/pusat/detail/980103
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 21 Tahun 2017 tanggal 18 Oktober 2017, tentang Perubahan Kedua Atas Peraturan Menteri Komunikasi dan Informatika Nomor 12 Tahun 2016 Tentang Registrasi Pelanggan Jasa Telekomunikasi",-,21,PERATURAN MENTERI,-,18 Oktober 2017,18 Oktober 2017,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1508750312-PM_Kominfo_No_21_Tahun_2017_JDIH.pdf,573642,https://jdihn.go.id/search/pusat/detail/980104
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"Peraturan Menteri Komunikasi dan Informatika Nomor 6 Tahun 2014 tanggal 21 Januari 2014, tentang Persyaratan Teknis Perangkat Router",-,6,PERATURAN MENTERI,-,21 Januari 2015,21 Januari 2015,JDIH KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,-,-,-,-,-,-,-,-,-,Kementerian Komunikasi dan Informatika,-,https://jdihn.go.id/files/456/1390988912-salinan_PM_Kominfo_No_6_Th_2014_Router_Copy.pdf,402008,https://jdihn.go.id/search/pusat/detail/980105
